role_id,permission_id,created_at
1,1,2025-11-13 15:47:06.344181
1,2,2025-11-13 15:47:06.344181
1,3,2025-11-13 15:47:06.344181
1,4,2025-11-13 15:47:06.344181
1,5,2025-11-13 15:47:06.344181
1,6,2025-11-13 15:47:06.344181
1,7,2025-11-13 15:47:06.344181
1,8,2025-11-13 15:47:06.344181
1,9,2025-11-13 15:47:06.344181
1,10,2025-11-13 15:47:06.344181
1,11,2025-11-13 15:47:06.344181
1,12,2025-11-13 15:47:06.344181
1,13,2025-11-13 15:47:06.344181
1,14,2025-11-13 15:47:06.344181
1,15,2025-11-13 15:47:06.344181
1,16,2025-11-13 15:47:06.344181
1,17,2025-11-13 15:47:06.344181
1,18,2025-11-13 15:47:06.344181
1,19,2025-11-13 15:47:06.344181
1,20,2025-11-13 15:47:06.344181
1,21,2025-11-15 13:41:17.591756
1,22,2025-11-15 13:41:17.595995
1,23,2025-11-15 13:41:17.598252
1,24,2025-11-25 13:16:32.03515
1,25,2025-11-25 13:16:32.041864
1,26,2025-11-25 13:16:32.044492
2,5,2025-11-13 15:47:06.344181
2,6,2025-11-13 15:47:06.344181
2,7,2025-11-13 15:47:06.344181
2,9,2025-11-13 15:47:06.344181
2,10,2025-11-13 15:47:06.344181
2,12,2025-11-13 15:47:06.344181
2,13,2025-11-13 15:47:06.344181
2,15,2025-11-13 15:47:06.344181
2,24,2025-11-25 13:16:32.049174
2,25,2025-11-25 13:16:32.053919
3,5,2025-11-13 15:47:06.344181
3,6,2025-11-13 15:47:06.344181
3,9,2025-11-13 15:47:06.344181
3,12,2025-11-13 15:47:06.344181
3,13,2025-11-13 15:47:06.344181
3,24,2025-11-25 13:16:32.058931
3,25,2025-11-25 13:16:32.062591
4,5,2025-11-13 15:47:06.344181
4,6,2025-11-13 15:47:06.344181
4,9,2025-11-13 15:47:06.344181
4,10,2025-11-13 15:47:06.344181
4,12,2025-11-13 15:47:06.344181
4,13,2025-11-13 15:47:06.344181
4,24,2025-11-25 13:16:32.065852
4,25,2025-11-25 13:16:32.069283
5,5,2025-11-13 15:47:06.344181
5,6,2025-11-13 15:47:06.344181
5,15,2025-11-13 15:47:06.344181
5,16,2025-11-13 15:47:06.344181
5,24,2025-11-25 13:16:32.071015
6,5,2025-11-13 15:47:06.344181
6,6,2025-11-13 15:47:06.344181
6,9,2025-11-13 15:47:06.344181
6,24,2025-11-25 13:16:32.072303
7,5,2025-11-13 15:47:06.344181
7,6,2025-11-13 15:47:06.344181
7,9,2025-11-13 15:47:06.344181
7,24,2025-11-25 13:16:32.075209
8,5,2025-11-13 15:47:06.344181
8,6,2025-11-13 15:47:06.344181
8,7,2025-11-13 15:47:06.344181
8,8,2025-11-13 15:47:06.344181
8,9,2025-11-13 15:47:06.344181
8,10,2025-11-13 15:47:06.344181
8,11,2025-11-13 15:47:06.344181
8,12,2025-11-13 15:47:06.344181
8,13,2025-11-13 15:47:06.344181
8,14,2025-11-13 15:47:06.344181
8,15,2025-11-13 15:47:06.344181
8,16,2025-11-13 15:47:06.344181
8,17,2025-11-13 15:47:06.344181
8,18,2025-11-13 15:47:06.344181
8,19,2025-11-13 15:47:06.344181
8,20,2025-11-13 15:47:06.344181
8,21,2025-11-15 13:41:17.601278
8,22,2025-11-15 13:41:17.60442
8,24,2025-11-25 13:16:32.077641
8,25,2025-11-25 13:16:32.078886
8,26,2025-11-25 13:16:32.079781
